FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2024,Remaining,MAR,Coastal/Interior,NEW ORLEANS,AR,"LITTLE ROCK, AR (2003)",Air,Travelers,Air,68
2023,Remaining,JUN,Northern Border,BUFFALO,NY,"ALBANY, NY (1002)",Air,Conveyances,Air,27
2023,Remaining,MAR,Preclearance,PRECLEARANCE,DC,USCBP VANCOUVER PRECLEAR (7922),Air,Travelers,Air,252337
2024,Remaining,SEP,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Land,Conveyances,Passenger Vehicles,237
2024,Remaining,MAY,Coastal/Interior,HOUSTON,TX,MEACHAM INTL ARPRT (FTW) (5589),Air,Conveyances,Air,46
2023,FYTD,NOV,Southern Border,EL PASO,NM,SANTA TERESA (2408),Air,Conveyances,Air,24
2022,Remaining,MAR,Northern Border,SEATTLE,ND,"NORTHGATE, ND (3406)",Land,Conveyances,Passenger Vehicles,193
2024,FYTD,NOV,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Land,Travelers,Passenger Vehicles,816537
2024,Remaining,AUG,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Air,Conveyances,Air,19
2022,Remaining,FEB,Coastal/Interior,HOUSTON,TX,SUGAR LAND REGIONAL AIRP (5381),Air,Conveyances,Air,56
2024,Remaining,JUL,Coastal/Interior,NEW ORLEANS,TN,"KNOXVILLE, TN (2016)",Air,Conveyances,Air,10
2022,FYTD,OCT,Coastal/Interior,HOUSTON,TX,"AUSTIN, TX (5506)",Air,Conveyances,Air,209
2022,Remaining,JAN,Northern Border,BOSTON,NH,"PORTSMOUTH, NH (0131)",Air,Conveyances,Air,22
2025 (FYTD),FYTD,DEC,Preclearance,PRECLEARANCE,DC,USCBP ABU DHABI PRECLEAR (7543),Air,Travelers,Air,51007
2022,FYTD,DEC,Southern Border,TUCSON,AZ,SCOTTSDALE USER FEE ARPT (2681),Air,Travelers,Air,1000
2022,FYTD,DEC,Coastal/Interior,SAN FRANCISCO,CA,"OAKLAND, CA (2811)",Air,Travelers,Air,13715
2022,Remaining,APR,Coastal/Interior,SAN JUAN,VI,ST. CROIX (PRE-INSPECTION) (7404),Air,Travelers,Air,17725
2023,Remaining,FEB,Northern Border,SEATTLE,WA,"PORT ANGELES, WA (3007)",Air,Conveyances,Air,5
2023,Remaining,MAR,Southern Border,SAN DIEGO,CA,CALEXICO-EAST (2507),Land,Travelers,Trucks,43909
2023,FYTD,OCT,Coastal/Interior,CHICAGO,OH,"CINCINNATI, OH (4102)",Air,Conveyances,Air,34
2023,Remaining,JAN,Coastal/Interior,NEW ORLEANS,AR,"LITTLE ROCK, AR (2003)",Air,Travelers,Air,35
2022,Remaining,JAN,Northern Border,BOSTON,ME,"JACKMAN, ME (0104)",Land,Travelers,Pedestrians,148
2024,FYTD,DEC,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Travelers,Passenger Vehicles,84203
2024,Remaining,JAN,Northern Border,BOSTON,MA,"NEW BEDFORD, MA (0405)",Air,Travelers,Air,34
2023,Remaining,MAR,Northern Border,BOSTON,VT,"NORTON, VT (0211)",Land,Travelers,Pedestrians,2
2024,Remaining,AUG,Coastal/Interior,CHICAGO,MO,SPIRIT OF ST. LOUIS AIRP (4506),Air,Conveyances,Air,14
2022,Remaining,JAN,Coastal/Interior,TAMPA,FL,"ORLANDO, FL (1808)",Air,Conveyances,Air,1130
2023,Remaining,JAN,Preclearance,PRECLEARANCE,DC,USCBP ARUBA PRECLEAR (7424),Air,Conveyances,Air,489
2022,FYTD,NOV,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Conveyances,Passenger Vehicles,109
2022,Remaining,FEB,Northern Border,SEATTLE,WA,"POINT ROBERTS, WA (3017)",Land,Conveyances,Passenger Vehicles,22737
2023,FYTD,OCT,Northern Border,DETROIT,MI,"SAULT STE. MARIE, MI (3803)",Land,Travelers,Trucks,2945
2023,Remaining,MAY,Southern Border,TUCSON,AZ,"TUCSON, AZ (2609)",Air,Conveyances,Air,189
2024,Remaining,JUN,Southern Border,EL PASO,TX,"PRESIDIO, TX (2403)",Land,Conveyances,Trucks,951
2022,Remaining,AUG,Coastal/Interior,CHICAGO,WI,"MILWAUKEE, WI (3701)",Air,Travelers,Air,711
2024,Remaining,JUN,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Land,Travelers,Trucks,34372
2024,Remaining,JUL,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Land,Travelers,Passenger Vehicles,254318
2022,FYTD,NOV,Northern Border,BUFFALO,NY,BUFFALO-NIAGARA FALLS NY (0901),Land,Travelers,Pedestrians,10100
2024,Remaining,JAN,Coastal/Interior,CHICAGO,MO,"KANSAS CITY, MO (4501)",Air,Travelers,Air,9188
2022,Remaining,AUG,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Travelers,Trucks,311
2022,FYTD,NOV,Coastal/Interior,CHICAGO,KS,"WICHITA, KS (4504)",Air,Travelers,Air,73
2022,Remaining,MAY,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Land,Travelers,Passenger Vehicles,704878
2022,FYTD,OCT,Coastal/Interior,MIAMI,FL,"KEY WEST, FL (5202)",Air,Travelers,Air,50
2022,Remaining,AUG,Coastal/Interior,NEW YORK,NJ,"MORRISTOWN AIRPORT, NJ (4681)",Air,Travelers,Air,232
2023,Remaining,JUN,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Travelers,Pedestrians,25
2023,Remaining,MAR,Northern Border,SEATTLE,ND,MINOT AIRPORT (3434),Air,Travelers,Air,103
2022,FYTD,NOV,Northern Border,BUFFALO,NY,"ALEXANDRIA BAY, NY (0708)",Land,Travelers,Passenger Vehicles,38055
2024,Remaining,MAR,Southern Border,TUCSON,AZ,"DOUGLAS, AZ (2601)",Land,Travelers,Pedestrians,68614
2022,Remaining,MAR,Northern Border,SEATTLE,WA,METALINE FALLS (3025),Land,Travelers,Trucks,295
2024,Remaining,JUN,Southern Border,EL PASO,TX,YSLETA (2401),Land,Conveyances,Passenger Vehicles,296917
2023,Remaining,JUL,Coastal/Interior,MIAMI,FL,WITHAM FIELD GAF (SUA) (5283),Air,Conveyances,Air,94
2022,Remaining,AUG,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Air,Travelers,Air,8
2022,Remaining,SEP,Coastal/Interior,CHICAGO,OH,"CINCINNATI, OH (4102)",Air,Conveyances,Air,23
2022,Remaining,MAY,Northern Border,BUFFALO,NY,BUFFALO-NIAGARA FALLS NY (0901),Air,Travelers,Air,365
2023,FYTD,DEC,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Travelers,Passenger Vehicles,635
2023,FYTD,OCT,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Travelers,Passenger Vehicles,7489
2022,Remaining,JUN,Southern Border,EL PASO,NM,SANTA TERESA (2408),Land,Conveyances,Passenger Vehicles,51615
2023,Remaining,JUL,Coastal/Interior,NEW ORLEANS,AL,"MOBILE, AL (1901)",Air,Conveyances,Air,5
2022,Remaining,SEP,Northern Border,SEATTLE,ID,"PORTHILL, ID (3308)",Land,Conveyances,Trucks,147
2022,Remaining,MAR,Northern Border,SEATTLE,WA,SEATTLE-TACOMA INTL ARPT (3029),Air,Conveyances,Air,916
2023,Remaining,JUL,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Travelers,Passenger Vehicles,322302
2022,FYTD,NOV,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Trucks,184
2022,Remaining,MAY,Northern Border,BOSTON,MA,"GLOUCESTER, MA (0404)",Air,Travelers,Air,7
2023,Remaining,JAN,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Air,Conveyances,Air,10
2024,Remaining,MAY,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Travelers,Trucks,503
2024,FYTD,OCT,Southern Border,LAREDO,TX,"RIO GRANDE CITY, TX (2307)",Land,Travelers,Passenger Vehicles,76192
2024,Remaining,JUL,Coastal/Interior,TAMPA,FL,"ORLANDO, FL (1808)",Air,Travelers,Air,322567
2022,FYTD,OCT,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Travelers,Pedestrians,13
2024,Remaining,SEP,Northern Border,BOSTON,ME,"JACKMAN, ME (0104)",Air,Travelers,Air,9
2025 (FYTD),FYTD,OCT,Northern Border,BOSTON,ME,"CALAIS, ME (0115)",Land,Conveyances,Trucks,5142
2023,Remaining,JUN,Northern Border,BOSTON,VT,HIGHGATE SPRINGS/ALBURG (0212),Land,Travelers,Pedestrians,6299
2023,Remaining,FEB,Coastal/Interior,CHICAGO,IL,"CHICAGO, IL (3901)",Air,Conveyances,Air,2212
2025 (FYTD),FYTD,NOV,Coastal/Interior,CHICAGO,KY,"LOUISVILLE, KY (4115)",Air,Conveyances,Air,325
2022,Remaining,JAN,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Land,Conveyances,Passenger Vehicles,18970
2023,Remaining,MAR,Northern Border,SEATTLE,WA,"NIGHTHAWK, WA (3011)",Land,Travelers,Passenger Vehicles,377
2023,FYTD,OCT,Northern Border,SEATTLE,WA,"BELLINGHAM, WA (3005)",Air,Conveyances,Air,104
2024,Remaining,AUG,Northern Border,BOSTON,MA,"GLOUCESTER, MA (0404)",Air,Travelers,Air,4
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Travelers,Passenger Vehicles,2033
2024,Remaining,MAY,Preclearance,PRECLEARANCE,DC,USCBP ARUBA PRECLEAR (7424),Air,Conveyances,Air,560
2022,Remaining,JUL,Northern Border,BOSTON,ME,"VANCEBORO, ME (0105)",Land,Travelers,Pedestrians,16
2022,FYTD,DEC,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Travelers,Pedestrians,1
2024,Remaining,MAY,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Air,Travelers,Air,15
2022,Remaining,SEP,Coastal/Interior,CHICAGO,MO,"ST LOUIS, MO (4503)",Air,Travelers,Air,10038
2022,Remaining,JUL,Northern Border,SEATTLE,MT,"SCOBEY, MT (3309)",Land,Travelers,Pedestrians,181
2025 (FYTD),FYTD,NOV,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Conveyances,Trucks,1861
2024,Remaining,MAY,Coastal/Interior,HOUSTON,TX,"LUBBOCK, TX (5503)",Air,Travelers,Air,32
2022,Remaining,JUN,Coastal/Interior,NEW ORLEANS,AL,"HUNTSVILLE, AL (1910)",Air,Conveyances,Air,6
2023,FYTD,NOV,Coastal/Interior,CHICAGO,PA,"ERIE, PA (4106)",Air,Travelers,Air,135
2022,Remaining,MAY,Coastal/Interior,HOUSTON,TX,MIDLAND INTER AIRPORT (5582),Air,Conveyances,Air,15
2023,Remaining,MAY,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Land,Travelers,Pedestrians,257376
2022,Remaining,SEP,Northern Border,SEATTLE,ND,"DUNSEITH, ND (3422)",Land,Conveyances,Trucks,1935
2024,FYTD,OCT,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Travelers,Trucks,262
2022,Remaining,AUG,Coastal/Interior,HOUSTON,TX,"LUBBOCK, TX (5503)",Air,Travelers,Air,27
2024,Remaining,AUG,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Land,Travelers,Passenger Vehicles,795345
2023,FYTD,OCT,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Travelers,Trucks,8646
2022,FYTD,DEC,Coastal/Interior,CHICAGO,MO,"SPRINGFIELD, MO (4505)",Air,Conveyances,Air,3
2023,FYTD,OCT,Coastal/Interior,SAN JUAN,VI,"CHARLOTTE AMALIE, VI (5101)",Air,Conveyances,Air,106
2022,Remaining,JUL,Coastal/Interior,CHICAGO,MO,"KANSAS CITY, MO (4501)",Air,Conveyances,Air,41
2024,Remaining,APR,Northern Border,SEATTLE,MT,"SWEETGRASS, MT (3310)",Land,Travelers,Trucks,17156
2024,Remaining,JUL,Southern Border,TUCSON,AZ,"LUKEVILLE, AZ (2602)",Land,Travelers,Pedestrians,6793
2022,Remaining,JAN,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Travelers,Trucks,23434
2024,FYTD,NOV,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Travelers,Pedestrians,12
2023,Remaining,JUL,Northern Border,DETROIT,MI,"SAGINAW/BAY CITY, MI (3804)",Air,Travelers,Air,147
2022,Remaining,MAR,Northern Border,SEATTLE,ND,"CARBURY, ND (3421)",Land,Travelers,Trucks,6
2025 (FYTD),FYTD,DEC,Coastal/Interior,HOUSTON,TX,"CORPUS CHRISTI, TX (5312)",Air,Travelers,Air,23
2024,Remaining,MAR,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Passenger Vehicles,8055
2024,Remaining,MAY,Coastal/Interior,CHICAGO,WI,"MILWAUKEE, WI (3701)",Air,Travelers,Air,85
2022,Remaining,FEB,Coastal/Interior,NEW ORLEANS,AL,"BIRMINGHAM, AL (1904)",Air,Conveyances,Air,32
2023,Remaining,SEP,Coastal/Interior,CHICAGO,IN,FORT WAYNE AIRPORT (4183),Air,Conveyances,Air,10
2023,FYTD,DEC,Coastal/Interior,SAN FRANCISCO,CA,"OAKLAND, CA (2811)",Air,Travelers,Air,16191
2024,FYTD,NOV,Northern Border,BOSTON,MA,"NEW BEDFORD, MA (0405)",Air,Conveyances,Air,5
2022,Remaining,FEB,Coastal/Interior,SAN FRANCISCO,CA,FRESNO YOSEMITE AIRPORT (2882),Air,Travelers,Air,12838
2024,Remaining,APR,Northern Border,BOSTON,ME,"CALAIS, ME (0115)",Land,Travelers,Pedestrians,1154
2024,FYTD,NOV,Northern Border,SEATTLE,MT,"DEL BONITA, MT (3322)",Land,Travelers,Trucks,70
2023,Remaining,MAR,Northern Border,PORTLAND,CO,JEFFCO USER FEE AIRPORT (3383),Air,Conveyances,Air,22
2022,Remaining,MAY,Northern Border,SEATTLE,WA,KENNETH G WARD POE (3023),Land,Conveyances,Trucks,4800
2023,Remaining,JAN,Northern Border,BOSTON,ME,"JACKMAN, ME (0104)",Land,Travelers,Pedestrians,282
2024,Remaining,SEP,Coastal/Interior,CHICAGO,IA,"DES MOINES, IA (3513)",Air,Conveyances,Air,14
2024,Remaining,SEP,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Land,Travelers,Pedestrians,1802
2022,Remaining,FEB,Coastal/Interior,ATLANTA,GA,MYRTLE BEACH INTL AIRPOR (1681),Air,Conveyances,Air,9
2024,Remaining,JUN,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Travelers,Pedestrians,12
2023,FYTD,DEC,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Land,Travelers,Passenger Vehicles,244565
2024,Remaining,MAR,Northern Border,SEATTLE,WA,"FERRY, WA (3013)",Land,Travelers,Passenger Vehicles,1226
2022,Remaining,MAR,Northern Border,PORTLAND,ID,"BOISE, ID (2907)",Air,Conveyances,Air,32
2024,Remaining,AUG,Northern Border,DETROIT,MI,"SAULT STE. MARIE, MI (3803)",Land,Travelers,Pedestrians,1285
2024,Remaining,JUL,Southern Border,LAREDO,TX,"ROMA, TX (2310)",Land,Conveyances,Passenger Vehicles,64155
2022,Remaining,APR,Coastal/Interior,TAMPA,FL,ORLANDO SANFORD AIRPORT (1809),Air,Conveyances,Air,51
2022,Remaining,JUN,Northern Border,PORTLAND,AK,"FAIRBANKS, AK (3111)",Air,Travelers,Air,1484
2022,Remaining,MAR,Coastal/Interior,HOUSTON,TX,HOUSTON INTERCONTL (5309),Air,Travelers,Air,369203
2023,Remaining,AUG,Coastal/Interior,SAN FRANCISCO,CA,SAN JOSE INTL AIRPORT (2834),Air,Travelers,Air,35787
2024,FYTD,NOV,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Conveyances,Trucks,11533
2024,Remaining,MAR,Northern Border,SEATTLE,WA,"SPOKANE, WA (3022)",Air,Travelers,Air,138
2022,Remaining,MAR,Northern Border,SEATTLE,MN,"GRAND PORTAGE, MN (3613)",Land,Travelers,Pedestrians,164
2022,FYTD,NOV,Northern Border,SEATTLE,WA,"SEATTLE, WA (3001)",Air,Travelers,Air,699
2022,Remaining,MAR,Northern Border,SEATTLE,ND,"FORTUNA, ND (3417)",Land,Conveyances,Trucks,38
2022,Remaining,APR,Northern Border,SEATTLE,WA,"FRONTIER, WA (3020)",Land,Conveyances,Passenger Vehicles,1799
2023,Remaining,FEB,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Land,Conveyances,Passenger Vehicles,8536
2025 (FYTD),FYTD,OCT,Coastal/Interior,HOUSTON,OK,"TULSA, OK (5505)",Air,Conveyances,Air,9
2022,Remaining,APR,Preclearance,PRECLEARANCE,DC,USCBP VICTORIA PRECLEAR (7930),Land,Conveyances,Passenger Vehicles,3428
2023,FYTD,NOV,Coastal/Interior,NEW ORLEANS,TN,"NASHVILLE, TN (2007)",Air,Conveyances,Air,93
2022,Remaining,MAR,Northern Border,PORTLAND,CO,ARAPAHOE CNTY PUBL AIRPT (3384),Air,Conveyances,Air,81
2023,Remaining,MAY,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Travelers,Trucks,7
2022,Remaining,SEP,Northern Border,SEATTLE,ND,HECTOR INTERNATIONAL AIRPORT (3411),Air,Conveyances,Air,84
2023,FYTD,NOV,Coastal/Interior,TAMPA,FL,"JACKSONVILLE, FL (1803)",Air,Travelers,Air,779
2023,Remaining,APR,Northern Border,SEATTLE,ND,"AMBROSE, ND (3410)",Land,Travelers,Passenger Vehicles,75
2023,Remaining,AUG,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Travelers,Pedestrians,698
2024,Remaining,JUN,Northern Border,SEATTLE,ND,"ST JOHN, ND (3405)",Land,Travelers,Trucks,95
2024,FYTD,OCT,Northern Border,BOSTON,VT,"RICHFORD, VT (0203)",Land,Conveyances,Passenger Vehicles,6764
2022,FYTD,OCT,Preclearance,PRECLEARANCE,DC,"USCBP SHANNON IE, PRECLEAR (7542)",Air,Travelers,Air,75
2022,Remaining,FEB,Northern Border,PORTLAND,CO,"DENVER, CO (3307)",Air,Conveyances,Air,626
2023,Remaining,MAY,Northern Border,BUFFALO,NY,"MASSENA, NY (0704)",Land,Conveyances,Trucks,2160
2024,Remaining,APR,Southern Border,SAN DIEGO,CA,"TECATE, CA (2505)",Land,Conveyances,Trucks,5103
2023,FYTD,OCT,Coastal/Interior,LOS ANGELES,CA,ONTARIO INTL AIRPORT (2721),Air,Travelers,Air,8177
2022,FYTD,OCT,Coastal/Interior,NEW YORK,NY,JOHN F KENNEDY AIRPORT (4701),Air,Conveyances,Air,4300
2023,Remaining,FEB,Coastal/Interior,SAN FRANCISCO,MP,SAIPAN (3211),Air,Conveyances,Air,170
2023,Remaining,JUL,Northern Border,DETROIT,MI,DETROIT METROPLTN AIRPRT (3807),Air,Travelers,Air,146787
2024,FYTD,OCT,Coastal/Interior,TAMPA,FL,"ORLANDO, FL (1808)",Air,Travelers,Air,237466
2024,FYTD,NOV,Coastal/Interior,CHICAGO,MO,"KANSAS CITY, MO (4501)",Air,Conveyances,Air,88
2022,FYTD,DEC,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Land,Travelers,Pedestrians,20309
2023,Remaining,FEB,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Land,Travelers,Passenger Vehicles,379661
2022,Remaining,JUN,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Travelers,Trucks,2283
2022,FYTD,OCT,Coastal/Interior,TAMPA,FL,LEESBURG REGIONAL AIRPT (1887),Air,Conveyances,Air,3
2022,Remaining,JUL,Northern Border,DETROIT,MI,"ALGONAC, MI (3814)",Land,Travelers,Pedestrians,449
2023,Remaining,MAY,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Air,Conveyances,Air,20
2022,Remaining,FEB,Northern Border,SEATTLE,WA,"PORT ANGELES, WA (3007)",Air,Conveyances,Air,4
2023,Remaining,FEB,Coastal/Interior,LOS ANGELES,CA,ONTARIO INTL AIRPORT (2721),Air,Conveyances,Air,66
2025 (FYTD),FYTD,NOV,Northern Border,BUFFALO,NY,"TROUT RIVER, NY (0715)",Land,Travelers,Trucks,888
2023,Remaining,JAN,Northern Border,BOSTON,NH,"PORTSMOUTH, NH (0131)",Air,Conveyances,Air,41
2023,Remaining,MAY,Northern Border,SEATTLE,ND,"ST JOHN, ND (3405)",Land,Travelers,Pedestrians,6
2024,FYTD,NOV,Coastal/Interior,LOS ANGELES,CA,LOS ANGELES INT ARPT (2720),Air,Travelers,Air,840874
2023,FYTD,OCT,Northern Border,BUFFALO,NY,BUFFALO-NIAGARA FALLS NY (0901),Land,Travelers,Passenger Vehicles,632219
2023,Remaining,SEP,Northern Border,SEATTLE,WA,"BELLINGHAM, WA (3005)",Air,Conveyances,Air,134
2022,FYTD,DEC,Coastal/Interior,SAN FRANCISCO,UT,"SALT LAKE CITY, UT (3303)",Air,Conveyances,Air,229
2024,FYTD,OCT,Coastal/Interior,CHICAGO,IN,SOUTH BEND INTL ARPT SBN (3986),Air,Travelers,Air,97
2023,Remaining,FEB,Northern Border,SEATTLE,MT,"TURNER, MT (3306)",Land,Travelers,Passenger Vehicles,685
2022,Remaining,FEB,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Conveyances,Trucks,800
2023,Remaining,APR,Northern Border,BOSTON,ME,"FORT FAIRFIELD, ME (0107)",Land,Travelers,Trucks,507
2024,FYTD,NOV,Northern Border,BOSTON,CT,"NEW LONDON, CT (0413)",Air,Travelers,Air,19
2023,FYTD,DEC,Northern Border,SEATTLE,MT,"SWEETGRASS, MT (3310)",Land,Travelers,Trucks,12159
2023,FYTD,DEC,Coastal/Interior,CHICAGO,IA,"DES MOINES, IA (3513)",Air,Travelers,Air,58
2023,FYTD,OCT,Northern Border,BUFFALO,NY,"ALEXANDRIA BAY, NY (0708)",Land,Travelers,Pedestrians,4090
2022,Remaining,JAN,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Travelers,Pedestrians,93898
2024,Remaining,MAR,Preclearance,PRECLEARANCE,DC,USCBP VICTORIA PRECLEAR (7930),Land,Travelers,Passenger Vehicles,10630
2024,Remaining,MAR,Northern Border,BUFFALO,NY,"OGDENSBURG, NY (0701)",Land,Conveyances,Passenger Vehicles,18144
2024,Remaining,JAN,Southern Border,LAREDO,TX,"ROMA, TX (2310)",Land,Conveyances,Trucks,3553
2023,FYTD,DEC,Southern Border,TUCSON,AZ,SCOTTSDALE USER FEE ARPT (2681),Air,Travelers,Air,1097
2024,Remaining,JAN,Northern Border,PORTLAND,CO,JEFFCO USER FEE AIRPORT (3383),Air,Conveyances,Air,33
2025 (FYTD),FYTD,NOV,Southern Border,LAREDO,TX,"RIO GRANDE CITY, TX (2307)",Land,Travelers,Pedestrians,9063
2022,Remaining,JUN,Northern Border,BUFFALO,NY,"ALBANY, NY (1002)",Air,Conveyances,Air,30
2023,FYTD,NOV,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Air,Travelers,Air,30
2025 (FYTD),FYTD,DEC,Northern Border,PORTLAND,AK,"ALCAN, AK (3104)",Land,Travelers,Trucks,701
2023,Remaining,JAN,Northern Border,SEATTLE,WA,"LAURIER, WA (3016)",Land,Travelers,Pedestrians,85
2022,Remaining,FEB,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Air,Travelers,Air,17
2023,Remaining,SEP,Southern Border,SAN DIEGO,CA,"ANDRADE, CA (2502)",Land,Travelers,Passenger Vehicles,82834
2024,Remaining,FEB,Preclearance,PRECLEARANCE,DC,USCBP MONTREAL PRECLEAR (7925),Air,Travelers,Air,203885
2023,Remaining,MAR,Northern Border,SEATTLE,ND,"NORTHGATE, ND (3406)",Land,Conveyances,Passenger Vehicles,432
2022,FYTD,OCT,Northern Border,SEATTLE,ND,"DUNSEITH, ND (3422)",Air,Travelers,Air,1
2025 (FYTD),FYTD,DEC,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Air,Conveyances,Air,274
2023,Remaining,JUL,Coastal/Interior,BALTIMORE,NJ,"USR FEE,ATLANTIC CITY,NJ (1182)",Air,Conveyances,Air,8
2023,Remaining,JUL,Northern Border,SEATTLE,MT,"KALISPELL, MT (3324)",Air,Conveyances,Air,103
2023,FYTD,NOV,Coastal/Interior,TAMPA,FL,"PENSACOLA, FL (1819)",Air,Travelers,Air,53
2024,Remaining,JAN,Northern Border,SEATTLE,MT,"ROOSVILLE, MT (3318)",Land,Conveyances,Trucks,794
2024,Remaining,FEB,Northern Border,BUFFALO,NY,"OGDENSBURG, NY (0701)",Land,Travelers,Trucks,2907
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,MN,"WARROAD, MN (3423)",Land,Travelers,Pedestrians,24
2024,FYTD,DEC,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Land,Travelers,Trucks,5
2022,Remaining,MAR,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Travelers,Passenger Vehicles,1216
2024,Remaining,SEP,Northern Border,BOSTON,ME,"VAN BUREN, ME (0108)",Land,Conveyances,Passenger Vehicles,9717
2024,Remaining,JAN,Southern Border,TUCSON,AZ,"PHOENIX, AZ (2605)",Air,Conveyances,Air,708
2023,Remaining,JUN,Northern Border,SEATTLE,MN,"ROSEAU, MN (3426)",Land,Conveyances,Passenger Vehicles,3112
2024,FYTD,NOV,Northern Border,SEATTLE,MN,"WARROAD, MN (3423)",Land,Travelers,Passenger Vehicles,9878
2022,Remaining,JAN,Preclearance,PRECLEARANCE,DC,USCBP BERMUDA PRECLEAR (7421),Air,Conveyances,Air,123
2023,Remaining,SEP,Northern Border,BOSTON,ME,"BRIDGEWATER, ME (0127)",Land,Conveyances,Trucks,352
2025 (FYTD),FYTD,OCT,Southern Border,LAREDO,TX,"HIDALGO,TX (2305)",Land,Travelers,Trucks,65659
2025 (FYTD),FYTD,DEC,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Travelers,Trucks,1926
2022,Remaining,JAN,Coastal/Interior,ATLANTA,NC,"DURHAM, NC (1503)",Air,Travelers,Air,2255
2024,Remaining,FEB,Coastal/Interior,CHICAGO,OH,DHL COURIER (4197),Air,Conveyances,Air,512
2023,Remaining,JUL,Northern Border,SEATTLE,ND,"WALHALLA, ND (3407)",Land,Travelers,Passenger Vehicles,4550
2023,FYTD,NOV,Northern Border,SEATTLE,ND,"WALHALLA, ND (3407)",Land,Travelers,Pedestrians,16
2023,Remaining,SEP,Northern Border,SEATTLE,ND,"ANTLER, ND (3413)",Land,Conveyances,Trucks,101
2022,Remaining,FEB,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Land,Travelers,Pedestrians,52
2022,FYTD,DEC,Northern Border,SEATTLE,MN,"BAUDETTE, MN (3424)",Air,Conveyances,Air,1
2022,Remaining,JAN,Northern Border,SEATTLE,WA,"BOUNDARY, WA (3015)",Land,Travelers,Pedestrians,6
2023,Remaining,MAR,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Land,Travelers,Trucks,8832
2022,Remaining,JUN,Northern Border,DETROIT,MI,OAKLAND/PONTIAC AIRPORT (3881),Air,Conveyances,Air,68
2025 (FYTD),FYTD,NOV,Northern Border,BOSTON,ME,"VAN BUREN, ME (0108)",Land,Conveyances,Passenger Vehicles,9464
