FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2023,Remaining,MAY,Coastal/Interior,CHICAGO,IN,"INDIANAPOLIS, IN (4110)",Air,Travelers,Air,1382
2023,Remaining,JAN,Northern Border,SEATTLE,ND,"NOONAN, ND (3420)",Land,Travelers,Passenger Vehicles,1262
2024,Remaining,JAN,Coastal/Interior,HOUSTON,TX,ADDISON AIRPORT (5584),Air,Conveyances,Air,72
2023,Remaining,MAR,Northern Border,SEATTLE,WA,SEATTLE-TACOMA INTL ARPT (3029),Air,Conveyances,Air,1048
2022,FYTD,NOV,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Air,Conveyances,Air,11
2023,Remaining,MAY,Northern Border,BOSTON,CT,"BRIDGEPORT, CT (0410)",Air,Travelers,Air,4
2022,Remaining,JUL,Coastal/Interior,HOUSTON,TX,ADDISON AIRPORT (5584),Air,Travelers,Air,266
2022,Remaining,JUL,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Travelers,Passenger Vehicles,243584
2023,Remaining,MAR,Northern Border,PORTLAND,AK,"JUNEAU, AK (3101)",Air,Travelers,Air,4
2024,Remaining,JUL,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Air,Conveyances,Air,313
2024,Remaining,MAR,Coastal/Interior,CHICAGO,OH,"CLEVELAND, OH (4101)",Air,Travelers,Air,10767
2022,Remaining,MAR,Northern Border,SEATTLE,MT,"DEL BONITA, MT (3322)",Air,Conveyances,Air,4
2022,Remaining,MAR,Northern Border,SEATTLE,ND,"HANNAH, ND (3408)",Land,Travelers,Passenger Vehicles,2
2023,Remaining,MAY,Northern Border,BUFFALO,NY,BUFFALO-NIAGARA FALLS NY (0901),Air,Travelers,Air,403
2023,Remaining,FEB,Preclearance,PRECLEARANCE,DC,"USCBP DUBLIN IE, PRECLEAR (7541)",Air,Travelers,Air,68432
2024,FYTD,OCT,Northern Border,PORTLAND,AK,"SKAGWAY, AK (3103)",Land,Conveyances,Trucks,209
2024,Remaining,JUN,Coastal/Interior,BALTIMORE,DE,"WILMINGTON, DE (1103)",Air,Travelers,Air,359
2022,Remaining,APR,Southern Border,TUCSON,AZ,"SASABE, AZ (2606)",Land,Conveyances,Passenger Vehicles,2336
2022,Remaining,JAN,Northern Border,PORTLAND,WY,"CASPER, WYOMING (3332)",Air,Conveyances,Air,42
2024,Remaining,SEP,Coastal/Interior,CHICAGO,PA,"ERIE, PA (4106)",Air,Travelers,Air,206
2025 (FYTD),FYTD,DEC,Northern Border,SEATTLE,ND,"CARBURY, ND (3421)",Land,Conveyances,Trucks,73
2022,Remaining,APR,Northern Border,DETROIT,MI,"BATTLE CREEK, MI (3805)",Air,Travelers,Air,42
2022,Remaining,JUN,Coastal/Interior,TAMPA,FL,FORT MYERS (1822),Air,Conveyances,Air,32
2023,Remaining,AUG,Coastal/Interior,NEW YORK,NJ,"MORRISTOWN AIRPORT, NJ (4681)",Air,Travelers,Air,179
2022,Remaining,AUG,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Conveyances,Passenger Vehicles,713
2024,FYTD,OCT,Coastal/Interior,SAN FRANCISCO,GU,GUAM (3207),Air,Conveyances,Air,652
